"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cmserver",,,,"User:","zhiyedan"
"Cmdline:","dstat -tcmnr --top-cpu --top-mem --output /home/zhiyedan/data/monitor/cmserver-2017-12-02.csv 60",,,,"Date:","02 Dec 2017 12:26:58 CST"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"io/total",,"most expensive","most expensive"
02-12 12:38:58,0.516,0.185,99.278,0.017,0.0,0.003,16338862080.0,454287360.0,17849327616.0,15918555136.0,10043.750,1950.450,0.0,3.267,java / 0%,java / 2681454592%
02-12 12:39:58,0.523,0.190,99.245,0.039,0.0,0.003,16340185088.0,454287360.0,17854955520.0,15911604224.0,11000.817,2331.150,0.0,5.133,java / 0%,java / 2681454592%
02-12 12:40:58,0.553,0.194,99.225,0.024,0.0,0.003,16341270528.0,454287360.0,17860689920.0,15904784384.0,11572.833,3184.850,0.0,3.667,java / 0%,java / 2681409536%
02-12 12:41:58,0.530,0.193,99.247,0.028,0.0,0.003,16342941696.0,454287360.0,17853825024.0,15909978112.0,11098.583,2334.667,0.0,4.217,java / 0%,java / 2681409536%
02-12 12:42:58,1.005,0.239,98.721,0.031,0.0,0.003,16338149376.0,454287360.0,17765212160.0,16003383296.0,11125.467,2331.183,0.017,3.650,java / 0%,java / 2681409536%
02-12 12:43:58,0.539,0.195,99.212,0.052,0.0,0.003,16338345984.0,454287360.0,17758420992.0,16009977856.0,11130.100,2326.717,0.0,5.783,java / 0%,java / 2681409536%
02-12 12:44:58,0.510,0.184,99.266,0.036,0.0,0.003,16338468864.0,454287360.0,17764458496.0,16003817472.0,10950.817,2307.583,0.0,5.467,java / 0%,java / 2681405440%
02-12 12:45:58,0.555,0.196,99.222,0.024,0.0,0.003,16339640320.0,454287360.0,17770278912.0,15996825600.0,11630.300,3189.750,0.0,3.600,java / 0%,java / 2681405440%
02-12 12:46:58,0.532,0.181,99.262,0.023,0.0,0.003,16337924096.0,454287360.0,17776050176.0,15992770560.0,11006.350,2344.500,0.0,3.617,java / 0%,java / 2681405440%
02-12 12:47:58,0.561,0.242,99.165,0.030,0.0,0.003,16340803584.0,454287360.0,17768923136.0,15997018112.0,11452.583,2765.117,0.0,4.083,java / 0%,java / 2681405440%
02-12 12:48:58,0.507,0.184,99.278,0.027,0.0,0.003,16339513344.0,454287360.0,17775083520.0,15992147968.0,11009.783,2333.617,0.0,3.417,java / 0%,java / 2681405440%
02-12 12:49:58,0.791,0.203,98.934,0.070,0.0,0.003,16341835776.0,454287360.0,17769586688.0,15995322368.0,11346.500,2761.650,0.0,11.117,java / 0%,java / 2681442304%
02-12 12:50:58,0.543,0.189,99.234,0.031,0.0,0.003,16342552576.0,454287360.0,17775702016.0,15988490240.0,11434.600,3144.017,0.0,4.483,java / 0%,java / 2681405440%
02-12 12:51:58,0.521,0.184,99.268,0.024,0.0,0.003,16342433792.0,454287360.0,17781854208.0,15982456832.0,11459.783,2330.100,0.0,3.083,java / 0%,java / 2681405440%
02-12 12:52:58,0.947,0.242,98.785,0.022,0.0,0.003,16340938752.0,454287360.0,17789116416.0,15976689664.0,11377.167,2789.833,0.0,4.0,java / 0%,java / 2681405440%
02-12 12:53:58,0.523,0.191,99.255,0.028,0.0,0.003,16339906560.0,454287360.0,17782132736.0,15984705536.0,10660.900,2201.133,0.0,5.150,java / 0%,java / 2681405440%
02-12 12:54:58,0.514,0.184,99.264,0.034,0.0,0.004,16340037632.0,454287360.0,17787432960.0,15979274240.0,11155.067,2406.533,0.0,5.467,java / 0%,java / 2681405440%
02-12 12:55:58,0.557,0.193,99.224,0.022,0.0,0.003,16339623936.0,454287360.0,17781137408.0,15985983488.0,11309.683,2750.867,0.0,3.967,java / 0%,java / 2681405440%
02-12 12:56:58,0.574,0.183,99.206,0.034,0.0,0.003,16341487616.0,454287360.0,17787310080.0,15977947136.0,11218.233,2757.833,0.0,4.017,java / 0%,java / 2681405440%
02-12 12:57:58,0.539,0.243,99.175,0.040,0.0,0.003,16344268800.0,454287360.0,17793077248.0,15969398784.0,11200.050,2348.983,0.0,3.850,java / 0%,java / 2681405440%
02-12 12:58:58,0.501,0.184,99.292,0.019,0.0,0.003,16342761472.0,454287360.0,17798713344.0,15965270016.0,10987.517,2295.950,0.0,3.300,java / 0%,java / 2681405440%
02-12 12:59:58,0.796,0.200,98.904,0.099,0.0,0.002,16343220224.0,454287360.0,17794244608.0,15969280000.0,11080.583,2324.500,0.0,11.450,java / 0%,java / 2681405440%
02-12 13:00:58,0.537,0.196,99.232,0.031,0.0,0.003,16342089728.0,454287360.0,17800232960.0,15964422144.0,11182.900,2719.917,0.0,4.767,java / 0%,java / 2681405440%
02-12 13:01:58,0.822,0.207,98.868,0.100,0.0,0.003,16342847488.0,454287360.0,17784459264.0,15979438080.0,11315.067,2750.067,0.0,11.100,java / 0%,java / 2681405440%
02-12 13:02:58,1.297,0.225,98.450,0.026,0.0,0.003,16339529728.0,454287360.0,17794789376.0,15972425728.0,11432.817,2786.750,0.0,4.550,java / 0%,java / 2681405440%
02-12 13:03:58,0.533,0.191,99.242,0.030,0.0,0.003,16341905408.0,454287360.0,17800687616.0,15964151808.0,11239.550,2764.100,0.0,5.733,java / 0%,java / 2681405440%
02-12 13:04:58,0.514,0.189,99.257,0.038,0.0,0.003,16340598784.0,454287360.0,17806061568.0,15960084480.0,11350.750,2761.950,0.0,5.400,java / 0%,java / 2681405440%
02-12 13:05:58,0.560,0.195,99.209,0.032,0.0,0.003,16343973888.0,454287360.0,17799020544.0,15963750400.0,11304.483,2691.567,0.0,3.800,java / 0%,java / 2681405440%
02-12 13:06:58,0.535,0.188,99.251,0.024,0.0,0.002,16343265280.0,454287360.0,17805299712.0,15958179840.0,11377.100,2365.417,0.0,4.333,java / 0%,java / 2681405440%
02-12 13:07:58,0.554,0.232,99.177,0.033,0.0,0.003,16344313856.0,454287360.0,17798901760.0,15963529216.0,11307.050,2775.283,0.0,4.267,java / 0%,java / 2681405440%
02-12 13:08:58,0.513,0.186,99.275,0.022,0.0,0.004,16344485888.0,454287360.0,17804804096.0,15957454848.0,11099.167,2256.567,0.0,3.317,java / 0%,java / 2681405440%
02-12 13:09:58,0.528,0.195,99.243,0.033,0.0,0.002,16346628096.0,454287360.0,17810567168.0,15949549568.0,11260.200,2785.617,0.0,4.950,java / 0%,java / 2681405440%
02-12 13:10:58,0.528,0.189,99.234,0.046,0.0,0.003,16346746880.0,454287360.0,17816162304.0,15943835648.0,11474.450,3137.533,0.0,4.567,java / 0%,java / 2681405440%
02-12 13:11:58,0.548,0.195,99.228,0.027,0.0,0.003,16348823552.0,454291456.0,17809063936.0,15948853248.0,11098.583,2362.317,0.0,3.450,java / 0%,java / 2681405440%
02-12 13:12:58,1.146,0.232,98.597,0.022,0.0,0.003,16343080960.0,454291456.0,17825325056.0,15938334720.0,11179.617,2332.450,0.0,3.933,java / 0%,java / 2683953152%
02-12 13:13:58,0.752,0.200,98.944,0.100,0.0,0.003,16343592960.0,454291456.0,17819193344.0,15943954432.0,10208.467,2310.733,0.0,10.017,java / 0%,java / 2683944960%
02-12 13:14:58,0.503,0.186,99.265,0.043,0.0,0.003,16343318528.0,454291456.0,17825234944.0,15938187264.0,11060.950,2290.717,0.0,4.933,java / 0%,java / 2683932672%
02-12 13:15:58,0.539,0.196,99.239,0.020,0.0,0.005,16346021888.0,454291456.0,17831194624.0,15929524224.0,11042.333,2647.533,0.0,4.100,java / 0%,java / 2683944960%
02-12 13:16:58,0.513,0.189,99.274,0.022,0.0,0.003,16342560768.0,454291456.0,17836707840.0,15927472128.0,11134.917,2317.950,0.0,3.800,java / 0%,java / 2680508416%
02-12 13:17:58,0.563,0.234,99.177,0.024,0.0,0.002,16343064576.0,454295552.0,17829822464.0,15933849600.0,11146.567,2342.033,0.0,3.583,java / 0%,java / 2680504320%
02-12 13:18:58,0.505,0.183,99.284,0.026,0.0,0.003,16342040576.0,454295552.0,17835847680.0,15928848384.0,10570.400,2273.333,0.0,3.767,java / 0%,java / 2680504320%
02-12 13:19:58,0.542,0.192,99.222,0.040,0.0,0.003,16343482368.0,454295552.0,17829187584.0,15934066688.0,11236.550,2772.800,0.0,5.500,java / 0%,java / 2680516608%
02-12 13:20:58,0.550,0.196,99.217,0.033,0.0,0.004,16341090304.0,454295552.0,17835429888.0,15930216448.0,11327.683,2783.050,0.0,4.817,java / 0%,java / 2680520704%
02-12 13:21:58,0.535,0.189,99.244,0.029,0.0,0.003,16343347200.0,454295552.0,17841197056.0,15922192384.0,11588.483,2767.617,0.0,3.017,java / 0%,java / 2680508416%
02-12 13:22:58,1.013,0.234,98.713,0.037,0.0,0.003,16341372928.0,454295552.0,17733201920.0,16032161792.0,11411.100,2780.067,0.0,5.683,java / 0%,java / 2680508416%
02-12 13:23:58,0.792,0.210,98.890,0.104,0.0,0.003,16342560768.0,454295552.0,17727840256.0,16036335616.0,11058.733,2294.267,0.0,11.683,java / 0%,java / 2680496128%
02-12 13:24:58,0.520,0.183,99.246,0.047,0.0,0.004,16339824640.0,454295552.0,17733996544.0,16032915456.0,11063.583,2370.767,0.0,8.033,java / 0%,java / 2680492032%
02-12 13:25:58,0.567,0.198,99.205,0.026,0.0,0.003,16340992000.0,454295552.0,17727459328.0,16038285312.0,11405.433,2743.583,0.0,4.533,java / 0%,java / 2680487936%
02-12 13:26:58,0.525,0.191,99.255,0.025,0.0,0.003,16340766720.0,454299648.0,17733623808.0,16032342016.0,11058.800,2359.850,0.0,3.900,java / 0%,java / 2680500224%
02-12 13:27:58,0.540,0.237,99.186,0.034,0.0,0.003,16342114304.0,454299648.0,17740120064.0,16024498176.0,11173.017,2320.867,0.0,4.167,java / 0%,java / 2680508416%
02-12 13:28:58,0.516,0.183,99.278,0.021,0.0,0.003,16340922368.0,454299648.0,17745756160.0,16020054016.0,11125.783,2353.667,0.0,3.050,java / 0%,java / 2680508416%
02-12 13:29:58,0.542,0.196,99.221,0.039,0.0,0.003,16341581824.0,454299648.0,17738637312.0,16026513408.0,11144.767,2328.383,0.0,5.717,java / 0%,java / 2680508416%
02-12 13:30:58,0.544,0.191,99.238,0.024,0.0,0.003,16341282816.0,454299648.0,17744875520.0,16020574208.0,11450.900,3190.617,0.0,4.233,java / 0%,java / 2680508416%
02-12 13:31:58,0.552,0.198,99.221,0.026,0.0,0.003,16342196224.0,454299648.0,17738092544.0,16026443776.0,11102.517,2318.383,0.0,3.617,java / 0%,java / 2680508416%
02-12 13:32:58,1.030,0.239,98.711,0.018,0.0,0.002,16341012480.0,454299648.0,17754087424.0,16011632640.0,11053.817,2350.317,0.0,4.267,java / 0%,java / 2680508416%
02-12 13:33:58,0.537,0.193,99.237,0.029,0.0,0.003,16342151168.0,454299648.0,17754267648.0,16010313728.0,11404.167,2803.150,0.0,5.283,java / 0%,java / 2680512512%
02-12 13:34:58,0.518,0.188,99.252,0.040,0.0,0.003,16341069824.0,454299648.0,17759776768.0,16005885952.0,10940.633,2265.833,0.0,4.717,java / 0%,java / 2680512512%
02-12 13:35:58,0.572,0.193,99.209,0.022,0.0,0.003,16345235456.0,454299648.0,17752748032.0,16008749056.0,11425.250,2698.983,0.0,4.417,java / 0%,java / 2680508416%
02-12 13:36:58,0.516,0.187,99.263,0.031,0.0,0.003,16343535616.0,454299648.0,17759043584.0,16004153344.0,11469.317,2793.250,0.0,3.967,java / 0%,java / 2680496128%
02-12 13:37:58,0.912,0.258,98.749,0.079,0.0,0.002,16345247744.0,454299648.0,17753354240.0,16008130560.0,11160.983,2317.367,0.0,12.333,java / 0%,java / 2680496128%
02-12 13:38:58,0.491,0.183,99.297,0.026,0.0,0.003,16341266432.0,454299648.0,17759649792.0,16005816320.0,10979.517,2325.867,0.0,3.383,java / 0%,java / 2680496128%
02-12 13:39:58,0.518,0.187,99.248,0.044,0.0,0.003,16342679552.0,454299648.0,17765416960.0,15998636032.0,11177.417,2356.733,0.0,5.317,java / 0%,java / 2680496128%
02-12 13:40:58,0.531,0.180,99.262,0.025,0.0,0.003,16343101440.0,454299648.0,17771020288.0,15992610816.0,9708.350,2234.800,0.0,3.600,java / 0%,java / 2680500224%
02-12 13:41:58,0.555,0.186,99.229,0.027,0.0,0.003,16344965120.0,454299648.0,17764274176.0,15997493248.0,11161.300,2341.083,0.0,4.183,java / 0%,java / 2680500224%
02-12 13:42:58,1.173,0.251,98.492,0.082,0.0,0.003,16340574208.0,454299648.0,17766240256.0,15999918080.0,11318.650,2749.450,0.0,9.800,java / 0%,java / 2680500224%
02-12 13:43:58,0.542,0.191,99.228,0.035,0.0,0.004,16339644416.0,454303744.0,17759584256.0,16007499776.0,11265.600,2764.417,0.0,5.633,java / 0%,java / 2680545280%
02-12 13:44:58,0.517,0.184,99.257,0.039,0.0,0.003,16337825792.0,454303744.0,17765490688.0,16003411968.0,11385.267,2775.850,0.0,4.967,java / 0%,java / 2680545280%
02-12 13:45:58,0.540,0.194,99.238,0.024,0.0,0.004,16342228992.0,454303744.0,17771470848.0,15993028608.0,11462.567,3173.633,0.0,3.633,java / 0%,java / 2680545280%
02-12 13:46:58,0.531,0.186,99.260,0.019,0.0,0.003,16340713472.0,454303744.0,17777106944.0,15988908032.0,11427.150,2791.200,0.0,3.750,java / 0%,java / 2680545280%
02-12 13:47:58,0.953,0.261,98.664,0.119,0.0,0.003,16343949312.0,454303744.0,17772654592.0,15990124544.0,11024.400,2304.467,0.0,12.650,java / 0%,java / 2680545280%
02-12 13:48:58,0.510,0.191,99.261,0.035,0.0,0.003,16346238976.0,454303744.0,17778819072.0,15981670400.0,11145.633,2372.667,0.0,4.567,java / 0%,java / 2680545280%
02-12 13:49:58,0.535,0.193,99.234,0.035,0.0,0.003,16345448448.0,454303744.0,17772126208.0,15989153792.0,10966.350,2309.817,0.0,5.717,java / 0%,java / 2680590336%
02-12 13:50:58,0.541,0.189,99.226,0.040,0.0,0.003,16345014272.0,454307840.0,17778257920.0,15983452160.0,11353.217,2734.517,0.0,4.300,java / 0%,java / 2680549376%
02-12 13:51:58,0.527,0.183,99.264,0.023,0.0,0.003,16347095040.0,454311936.0,17784549376.0,15975075840.0,11240.600,2322.567,0.0,3.250,java / 0%,java / 2680549376%
02-12 13:52:58,1.020,0.224,98.723,0.029,0.0,0.004,16343293952.0,454311936.0,17799532544.0,15963893760.0,11455.717,2775.500,0.017,4.650,java / 0%,java / 2680549376%
02-12 13:53:58,0.542,0.189,99.240,0.026,0.0,0.003,16342929408.0,454311936.0,17792733184.0,15971057664.0,11035.583,2339.733,0.0,4.633,java / 0%,java / 2680549376%
02-12 13:54:58,0.535,0.186,99.248,0.027,0.0,0.004,16343076864.0,454311936.0,17798680576.0,15964962816.0,11223.567,2416.317,0.0,5.500,java / 0%,java / 2680549376%
02-12 13:55:58,0.583,0.197,99.184,0.032,0.0,0.003,16344805376.0,454311936.0,17791971328.0,15969943552.0,11185.050,2714.433,0.0,4.450,java / 0%,java / 2680573952%
02-12 13:56:58,0.573,0.176,99.220,0.027,0.0,0.003,16343334912.0,454311936.0,17798012928.0,15965372416.0,11081.867,2304.800,0.0,3.717,java / 0%,java / 2680553472%
02-12 13:57:58,0.549,0.236,99.182,0.030,0.0,0.003,16344297472.0,454311936.0,17803902976.0,15958519808.0,11075.217,2340.100,0.0,3.233,java / 0%,java / 2680549376%
02-12 13:58:58,0.516,0.181,99.277,0.024,0.0,0.003,16342458368.0,454311936.0,17809281024.0,15954980864.0,11373.717,2778.867,0.0,3.450,java / 0%,java / 2680549376%
02-12 13:59:58,0.549,0.194,99.206,0.047,0.0,0.003,16345292800.0,454311936.0,17802313728.0,15959113728.0,11183.083,2737.083,0.0,5.533,java / 0%,java / 2680549376%
02-12 14:00:58,0.549,0.192,99.221,0.035,0.0,0.003,16343805952.0,454311936.0,17808719872.0,15954194432.0,11501.517,3149.067,0.0,4.250,java / 0%,java / 2680549376%
02-12 14:01:58,0.899,0.212,98.746,0.139,0.0,0.003,16344178688.0,454311936.0,17803116544.0,15959425024.0,11302.150,2769.067,0.0,11.950,java / 0%,java / 2680504320%
02-12 14:02:58,1.994,0.255,97.628,0.120,0.0,0.003,16342155264.0,454320128.0,17810337792.0,15954219008.0,10344.633,2302.050,0.0,14.283,java / 1%,java / 2680504320%
02-12 14:03:58,0.517,0.190,99.266,0.024,0.0,0.003,16339832832.0,454320128.0,17816100864.0,15950778368.0,10984.967,2300.733,0.0,7.433,java / 0%,java / 2680504320%
02-12 14:04:58,0.516,0.180,99.246,0.054,0.0,0.003,16338677760.0,454324224.0,17821872128.0,15946158080.0,11031.317,2309.050,0.0,5.400,java / 0%,java / 2680504320%
02-12 14:05:58,0.566,0.193,99.211,0.027,0.0,0.003,16342605824.0,454324224.0,17814966272.0,15949135872.0,11513.067,2738.783,0.0,3.783,java / 0%,java / 2680504320%
02-12 14:06:58,0.514,0.187,99.264,0.031,0.0,0.004,16341651456.0,454328320.0,17820987392.0,15944065024.0,11172.667,2291.217,0.0,4.150,java / 0%,java / 2680504320%
02-12 14:07:58,0.560,0.237,99.163,0.036,0.0,0.003,16342867968.0,454328320.0,17814327296.0,15949508608.0,11179.283,2323.133,0.0,4.217,java / 0%,java / 2680504320%
02-12 14:08:58,0.503,0.172,99.305,0.016,0.0,0.003,16341573632.0,454328320.0,17820360704.0,15944769536.0,11223.817,2732.850,0.0,3.167,java / 0%,java / 2680500224%
02-12 14:09:58,0.512,0.184,99.262,0.038,0.0,0.004,16343011328.0,454328320.0,17826385920.0,15937306624.0,11185.367,2353.917,0.0,6.117,java / 0%,java / 2680500224%
02-12 14:10:58,0.558,0.188,99.214,0.036,0.0,0.003,16340365312.0,454328320.0,17831993344.0,15934345216.0,11368.400,3118.433,0.0,4.750,java / 0%,java / 2680500224%
02-12 14:11:58,0.967,0.215,98.687,0.128,0.0,0.003,16343519232.0,454332416.0,17826500608.0,15936679936.0,11325.967,2739.350,0.0,15.0,java / 0%,java / 2680500224%
02-12 14:12:58,0.954,0.235,98.777,0.030,0.0,0.003,16341094400.0,454332416.0,17842757632.0,15922847744.0,11094.950,2372.833,0.0,3.983,java / 0%,java / 2680500224%
02-12 14:13:58,0.541,0.189,99.239,0.028,0.0,0.003,16343642112.0,454332416.0,17836265472.0,15926792192.0,11335.867,2749.550,0.0,4.900,java / 0%,java / 2680500224%
02-12 14:14:58,0.503,0.184,99.276,0.033,0.0,0.003,16342564864.0,454336512.0,17842434048.0,15921696768.0,11225.117,2765.450,0.0,5.483,java / 0%,java / 2680500224%
02-12 14:15:58,0.538,0.189,99.246,0.023,0.0,0.003,16343117824.0,454336512.0,17848164352.0,15915413504.0,11467.517,2719.750,0.0,3.483,java / 0%,java / 2680500224%
02-12 14:16:58,0.507,0.184,99.277,0.028,0.0,0.003,16342339584.0,454336512.0,17853788160.0,15910567936.0,11092.167,2304.250,0.0,4.217,java / 0%,java / 2680500224%
02-12 14:17:58,0.535,0.235,99.205,0.022,0.0,0.003,16342716416.0,454340608.0,17846775808.0,15917199360.0,11094.367,2264.250,0.0,4.167,java / 0%,java / 2680500224%
02-12 14:18:58,0.503,0.182,99.281,0.031,0.0,0.003,16341684224.0,454340608.0,17853194240.0,15911813120.0,11236.617,2751.383,0.0,3.817,java / 0%,java / 2680500224%
02-12 14:19:58,0.557,0.186,99.206,0.048,0.0,0.003,16343302144.0,454340608.0,17837436928.0,15925952512.0,11368.950,2741.017,0.0,5.600,java / 0%,java / 2680500224%
02-12 14:20:58,0.532,0.190,99.242,0.033,0.0,0.003,16342401024.0,454340608.0,17843585024.0,15920705536.0,11380.150,2729.800,0.0,4.350,java / 0%,java / 2680500224%
02-12 14:21:58,0.521,0.194,99.257,0.024,0.0,0.003,16343535616.0,454340608.0,17849479168.0,15913676800.0,11312.633,2321.083,0.0,3.933,java / 0%,java / 2680500224%
02-12 14:22:58,0.978,0.234,98.748,0.038,0.0,0.003,16342773760.0,454340608.0,17840631808.0,15923286016.0,11389.050,2767.833,0.0,4.983,java / 0%,java / 2680500224%
02-12 14:23:58,0.533,0.186,99.250,0.027,0.0,0.003,16342740992.0,454340608.0,17833668608.0,15930281984.0,11034.317,2296.433,0.0,3.983,java / 0%,java / 2680500224%
02-12 14:24:58,0.519,0.182,99.259,0.038,0.0,0.002,16340299776.0,454340608.0,17839693824.0,15926697984.0,11408.083,2819.267,0.0,5.700,java / 0%,java / 2680500224%
02-12 14:25:58,0.965,0.222,98.668,0.141,0.0,0.004,16342544384.0,454340608.0,17834627072.0,15929520128.0,11212.383,2691.017,0.0,15.067,java / 0%,java / 2680500224%
02-12 14:26:58,0.505,0.182,99.273,0.037,0.0,0.003,16341684224.0,454340608.0,17840529408.0,15924477952.0,11376.767,2772.733,0.0,3.733,java / 0%,java / 2680500224%
02-12 14:27:58,0.539,0.234,99.193,0.031,0.0,0.003,16341909504.0,454340608.0,17847021568.0,15917760512.0,11081.650,2337.283,0.0,3.917,java / 0%,java / 2680496128%
02-12 14:28:58,0.498,0.181,99.295,0.024,0.0,0.002,16339877888.0,454340608.0,17852526592.0,15914287104.0,11349.250,2755.367,0.0,3.933,java / 0%,java / 2680504320%
02-12 14:29:58,0.541,0.185,99.218,0.053,0.0,0.003,16342781952.0,454340608.0,17845407744.0,15918501888.0,11274.283,2763.483,0.0,5.567,java / 0%,java / 2680504320%
02-12 14:30:58,0.527,0.191,99.243,0.036,0.0,0.003,16341266432.0,454340608.0,17851682816.0,15913742336.0,10683.550,2591.983,0.0,4.133,java / 0%,java / 2680504320%
02-12 14:31:58,0.541,0.195,99.223,0.038,0.0,0.003,16343355392.0,454340608.0,17845035008.0,15918301184.0,11021.883,2333.600,0.0,8.467,java / 0%,java / 2680504320%
02-12 14:32:58,0.973,0.240,98.753,0.031,0.0,0.003,16341397504.0,454340608.0,17860771840.0,15904522240.0,11074.883,2336.117,0.0,3.233,java / 0%,java / 2680504320%
02-12 14:33:58,0.526,0.184,99.259,0.028,0.0,0.003,16341880832.0,454340608.0,17866661888.0,15898148864.0,11218.650,2700.633,0.0,4.733,java / 0%,java / 2680504320%
02-12 14:34:58,0.509,0.180,99.269,0.038,0.0,0.003,16341446656.0,454340608.0,17872306176.0,15892938752.0,11086.433,2306.283,0.0,5.183,java / 0%,java / 2680504320%
02-12 14:35:58,1.051,0.223,98.608,0.114,0.0,0.004,16343523328.0,454344704.0,17868255232.0,15894908928.0,11351.183,2682.417,0.0,16.950,java / 0%,java / 2680496128%
02-12 14:36:58,0.529,0.183,99.252,0.033,0.0,0.003,16340254720.0,454344704.0,17874411520.0,15892021248.0,11360.433,2347.300,0.0,3.750,java / 0%,java / 2680496128%
02-12 14:37:58,0.551,0.234,99.175,0.037,0.0,0.003,16335200256.0,454344704.0,17867542528.0,15903944704.0,10778.483,2076.900,0.0,4.267,java / 0%,java / 2680500224%
02-12 14:38:58,0.494,0.189,99.285,0.029,0.0,0.003,16334921728.0,454344704.0,17873911808.0,15897853952.0,11126.667,2325.950,0.0,4.017,java / 0%,java / 2680500224%
02-12 14:39:58,0.523,0.182,99.251,0.041,0.0,0.003,16335196160.0,454344704.0,17879810048.0,15891681280.0,11299.783,2771.783,0.0,4.600,java / 0%,java / 2680500224%
02-12 14:40:58,0.554,0.193,99.211,0.039,0.0,0.003,16333692928.0,454344704.0,17885822976.0,15887171584.0,11277.567,2731.783,0.0,4.233,java / 0%,java / 2680500224%
02-12 14:41:58,0.539,0.186,99.241,0.031,0.0,0.003,16334381056.0,454344704.0,17891336192.0,15880970240.0,11062.867,2314.700,0.0,3.933,java / 0%,java / 2680500224%
02-12 14:42:58,0.955,0.231,98.766,0.045,0.0,0.003,16337453056.0,454348800.0,17907208192.0,15862022144.0,11415.767,2787.467,0.0,4.700,java / 0%,java / 2680504320%
02-12 14:43:58,0.535,0.184,99.250,0.029,0.0,0.003,16343203840.0,454348800.0,17900339200.0,15863140352.0,10965.933,2205.167,0.0,4.300,java / 0%,java / 2680504320%
02-12 14:44:58,0.534,0.185,99.233,0.045,0.0,0.002,16340529152.0,454348800.0,17894133760.0,15872020480.0,10906.567,2721.667,0.0,5.533,java / 0%,java / 2680504320%
02-12 14:45:58,0.553,0.198,99.215,0.031,0.0,0.003,16342237184.0,454348800.0,17900253184.0,15864193024.0,11286.283,2723.567,0.0,4.283,java / 0%,java / 2680504320%
02-12 14:46:58,0.518,0.183,99.263,0.033,0.0,0.003,16340086784.0,454348800.0,17906159616.0,15860436992.0,11241.900,2741.533,0.0,3.650,java / 0%,java / 2680504320%
02-12 14:47:58,0.525,0.231,99.216,0.025,0.0,0.003,16341979136.0,454348800.0,17911799808.0,15852904448.0,11216.400,2336.817,0.0,3.250,java / 0%,java / 2680504320%
02-12 14:48:58,0.502,0.181,99.289,0.024,0.0,0.004,16341889024.0,454348800.0,17917693952.0,15847100416.0,11000.200,2319.783,0.0,3.583,java / 0%,java / 2681430016%
